 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
"PerkDescription_FieldStudy","Increases <style=KeyWord>Maximum {0}</style> to {1}.
Every {2} units <style=KeyWord>killed</style> at a <style=KeyWord>distance of {3} or more:</style>
{4}.
{7}.
<style=Attenuated>This modifier is reset every morning.</style>","Augmente le <style=KeyWord>Maximum de {0}</style> à {1}.
Toutes les {2} unités <style=KeyWord>tuées</style> à une <style=KeyWord>distance de {3} ou plus</style><nbsp>:
{4}.
{7}.
<style=Attenuated> Ce modificateur est réinitialisé tous les matins.</style>","将<style=KeyWord>{0}上限</style>提升至{1}。
每<style=KeyWord>击杀</style>{2}个<style=KeyWord>距离{3}格或以外的单位：</style>
{4}。
{7}。
<style=Attenuated>此加成在每个白天重置。</style>","<style=KeyWord>{0}上限</style>提升到{1}。
每從距離<style=KeyWord>{3}格（含）以外的距離</style><style=KeyWord>擊殺</style>{2}個單位：
{4}。
{7}。
<style=Attenuated>此加成在每個白天重置。</style>","<style=KeyWord>最大{0}</style>が{1}に増加する。
<style=KeyWord>距離{3}以上</style>の{2}ユニットを<style=KeyWord>撃破</style>するたびに、以下の効果を得る:
{4}。
{7}。
<style=Attenuated>この効果は毎朝リセットされる。</style>","<style=KeyWord>Макс. {0}</style> увеличивается до {1}.
За каждого {2}-го врага, <style=KeyWord>убитого</style> с <style=KeyWord>расстояния в {3} яч. или более, герой получает бонус:</style>
{4}.
{7}.
<style=Attenuated>Эффект сбрасывается каждое утро.</style>","Збільшує <style=KeyWord>максимум {0}</style> до {1}.
Кож. {2} од. персонажів, <style=KeyWord>убитих</style> на <style=KeyWord>відстані {3} чи більше:</style>
{4}.
{7}.
<style=Attenuated>Модифікатор скидається щоранку.</style>","<style=KeyWord>Max. {0}</style> auf {1} erhöht.
Für je {2} Einheiten, die auf eine <style=KeyWord>Entfernung von {3} oder mehr</style> <style=KeyWord>getötet</style> werden:</style>
{4}.
{7}.
<style=Attenuated>Dieser Modifikator wird jeden Morgen zurückgesetzt.</style>","Aumenta el <style=KeyWord>máximo de {0}</style> a {1}.
Cada {2} unidades <style=KeyWord>eliminadas</style> a una <style=KeyWord>distancia de {3} o más:</style>
{4}.
{7}.
<style=Attenuated>Este modificador se reinicia cada mañana.</style>","Aumenta <style=KeyWord>{0} Máx. </style> para {1}.
A cada {2} unidades <style=KeyWord>abatidas</style> a <style=KeyWord>{3} de distância ou mais:</style>
{4}.
{7}.
<style=Attenuated>Este modificador é redefinido todas as manhãs.</style>","<style=KeyWord>최대 {0}</style> {1}(으)로 증가
<style=KeyWord>{3}타일 이상의 거리</style>에서 유닛을 {2}명 <style=KeyWord>처치</style>할 때마다:
{4}.
{7}.
<style=Attenuated>Este modificador é redefinido todas as manhãs.</style>"
"PerkDescription_ExplosiveAtoms","When <style=KeyWord>attacking</style> with a <style=Mana>Mana-consuming</style> <style=""Skill"">skill</style>, the attack gets:
{0} <style=PerkDamage>Perk Damage</style>.","Lorsqu'une <style=""Skill"">compétence</style> qui <style=Mana>coûte du Mana</style> est utilisée pour <style=KeyWord>attaquer</style>, l'attaque obtient :
{0} de <style=PerkDamage>Dégâts de talent</style>.","当使用<style=Mana>消耗法力值</style>的<style=KeyWord>攻击</style><style=""Skill"">技能</style>时，此次攻击可获得：
{0}<style=PerkDamage>天赋伤害</style>","當使用<style=Mana>消耗法力值</style>的<style=KeyWord>攻擊</style><style=""Skill"">技能</style>時，此次攻擊可獲得：
{0}<style=PerkDamage>天賽傷害</style>","マナを消費する<style=""Skill"">スキル</style>で攻撃する際、攻撃に以下の効果を付与する:
{0}<style=PerkDamage>パークダメージ</style>。","Когда герой <style=KeyWord>атакует</style> цель <style=""Skill"">навыком</style>, <style=Mana>требующим маны</style>, он получает бонус к атаке:
{0} <style=PerkDamage>Урона от перка</style>.","Під час <style=KeyWord>атаки</style> <style=""Skill"">вмінням</style>, яке <style=Mana>потребує мани</style>, атака отримує:
{0} <style=PerkDamage>Шкоди від перка</style>.","Beim <style=KeyWord>Angriff</style> mit einer <style=Mana>manaverbrauchenden</style><style=""Skill""> Fähigkeit erhalte:
{0} <style=PerkDamage>Perk-Schaden</style>.","Al <style=KeyWord>atacar</style> con una <style=""Skill"">habilidad</style> que <style=Mana>consume maná</style>, el ataque obtiene:
{0} de <style=PerkDamage>Daño de beneficio</style>.","Quando <style=KeyWord>atacar</style> com uma <style=""Skill"">habilidade</style> que <style=Mana>consome Mana</style>, o ataque recebe:
{0} de <style=PerkDamage>Dano de Vantagem</style>.
{0}.","<style=Mana>마나 소모</style> <style=""Skill"">스킬</style>로 <style=KeyWord>공격</style>할 경우:
{0}"
"PerkDescription_ThirdEye","Every {0} enemies <style=KeyWord>hit</style>, the next <style=""Skill"">skill</style> gets:
{1}, {2}, {3}.
<style=Attenuated>This modifier doesn't stack.</style>","Tous les {0} ennemis <style=KeyWord>touchés</style>, la prochaine <style=""Skill"">compétence</style> obtient<nbsp>:
{1}, {2}, {3}.
<style=Attenuated>Ce modificateur n'est pas cumulable.</style>","每<style=KeyWord>击中</style>{0}个敌人，下一次使用<style=""Skill"">技能</style>时获得效果：
{1}, {2}, {3}。
<style=Attenuated>此加成不可叠加。</style>","每<style=KeyWord>擊中</style>{0}個敵人，下一次使用<style=""Skill"">技能</style>時獲得效果：
{1}, {2}, {3}。
<style=Attenuated>此加成不可疊加。</style>","{0}体のエネミーに<style=KeyWord>攻撃</style>する毎に、次の<style=""Skill"">スキル</style>は以下の効果を得る:
{1}, {2}, {3}。
<style=ATTenuated>この効果は重複しない。</style>","За <style=KeyWord>попадания</style> по {0} врагам следующий <style=""Skill"">навык</style> получает:
{1}, {2}, {3}.
<style=Attenuated>Эффект не накапливается.</style>","За кожних {0} ворогів, яким завдано <style=KeyWord>удар</style>, наступне <style=""Skill"">вміння</style> отримає:
{1}, {2}, {3}.
<style=Attenuated>Цей модифікатор не поєднується.</style>","Jeder {0} <style=KeyWord>getroffene</style> Gegner, gibt dem nächsten Angriff:
{1}, {2}, {3}.
<style=Attenuated>Dieser Modifikator ist nicht stapelbar.</style>","Cada {0} enemigos <style=KeyWord>golpeados</style>, la siguiente <style=""Skill"">habilidad</style> obtiene:
{1}, {2}, {3}.
<style=Attenuated>Este modificador no es acumulable.</style>","A cada {0} inimigos <style=KeyWord>golpeados</style>, a próxima <style=""Skill"">habilidade</style> recebe:
{1}.
<style=Attenuated>Este modificador não acumula.</style>","적 {0}명에 <style=KeyWord>명중</style>할 때마다 다음 <style=""Skill"">스킬</style>에 적용:
{1}
<style=Attenuated>해당 보정치는 중첩되지 않음</style>"
"PerkDescription_GlassCannon","{0}.
{1} <style=PerkDamage>Perk Damage</style>.","{0}.
{1} de <style=PerkDamage>Dégâts de talent</style>.","{0}
{1}<style=PerkDamage>天赋伤害</style>","{0}
{1}<style=PerkDamage>天賽傷害</style>","{0}。
{1}<style=PerkDamage>パークダメージ</style>。","{0}.
{1} <style=PerkDamage>Урона от перка</style>.","{0}.
{1} <style=PerkDamage>Шкоди від перка</style>.","{0}.
{1} <style=PerkDamage>Perk-Schaden</style>.","{0}.
{1} de <style=PerkDamage>Daño de beneficio</style>.","{0}.
{1} de <style=PerkDamage>Dano de Vantagem</style>.","{0}
{1} <style=PerkDamage>특전 피해</style>"
"PerkDescription_SpikySkin","{5}.
{6}.
Whenever the Hero <style=KeyWord>is hit</style>:
<style=KeyWord>Automatically</style> cast {2} on the attacker, with a base damage equal to {4} + {0} of the Hero's <style=KeyWord>{1}</style>.","{5}.
Quand le Héros <style=KeyWord>est touché</style><nbsp>:
Utilise <style=KeyWord>automatiquement</style> {2} sur l'attaquant, avec des dégâts de base égaux à {4} + {0} de <style=KeyWord>{1}</style> du Héros.","{5}
{6}.
当英雄<style=KeyWord>被击中</style>时：
<style=KeyWord>自动</style>向攻击者施放{2}技能，基础伤害为 - {4}+英雄<style=KeyWord>{1}</style>的{0}","{5}
{6}.
當英雄<style=KeyWord>被擊中</style>時：
<style=KeyWord>自動</style>向攻擊者施放{2}技能，基礎傷害為 - {4}+英雄<style=KeyWord>{1}</style>的{0}","{5}.
{6}.
英雄が<style=KeyWord>攻撃</style>を受ける度:
英雄の<style=KeyWord>{1}</style>の{4}+{0}に等しい基本ダメージを<style=KeyWord>自動</style>で{2}を攻撃者へと使用。","{5}.
{6}.
Каждый раз, когда по герою <style=KeyWord>попадают атакой</style>:
<style=KeyWord>Автоматически</style> применяет навык ""{2}"" против атакующего существа. Базовый урон автонавыка равен {4} плюс {0} <style=KeyWord>{1}</style> героя.","{5}.
{6}.
Коли герой зазнав <style=KeyWord>удару</style>:
<style=KeyWord>Автоматично</style> задіює навичку {2} на нападника, базова шкода дорівнює {4} + {0} від <style=KeyWord>{1}</style> героя.","{5}.
{6}.
Wenn der Held <style=KeyWord>getroffen wird</style>:
wird {2} <style=KeyWord>automatisch</style> gegen den Angreifer ausgelöst. Der Basisschaden ist {4} + {0} <style=KeyWord>{1}</style> des Helden.","{5}.
 {6}.
 Cuando el héroe <style=KeyWord>recibe un golpe</style>:
 Utiliza <style=KeyWord>automáticamente</style> {2} sobre el atacante, con un daño base igual al {4} + el {0} del atributo <style=KeyWord>{1}</style> del héroe.","{5}.
Sempre que um Herói <style=KeyWord>sofrer um ataque</style>:
Lança {2} <style=KeyWord>automaticamente</style> no atacante, com dano base igual a {4} + {0} do <style=KeyWord>{1}</style> do Herói.","{5}
{6}.
영웅이 공격에 <style=KeyWord>맞을</style> 때마다:
공격자에게 <style=KeyWord>자동으로</style> {2} 스킬 시전 (기본 피해: {4} + 영웅이 보유한 <style=KeyWord>{1}</style>의 {0})"
"PerkDescription_ExplosiveHemoglobin","When <style=KeyWord>attacking</style> with a <style=Health>Health-consuming</style> <style=""Skill"">skill</style>, the attack gets:
{0} <style=PerkDamage>Perk Damage</style>.","Lorsqu'une <style=Skill>compétence</style> qui <style=Health>coûte de la Vie</style> est utilisée pour <style=KeyWord>attaquer</style>, l'attaque obtient :
{0} de <style=PerkDamage>Dégâts de talent</style>.","当使用<style=Health>消耗生命值</style>的<style=""Skill"">技能</style><style=KeyWord>攻击</style>时，该攻击获得：
{0}<style=PerkDamage>天赋伤害</style>","當使用<style=Health>消耗生命值</style>的<style=""Skill"">技能</style><style=KeyWord>攻擊</style>時，該攻擊獲得：
{0}<style=PerkDamage>天賽傷害</style>","<style=Health>体力を消費する</style><style=""Skill"">スキル</style>を使用して<style=KeyWord>攻撃</style>時、以下の効果を得る:
{0}<style=PerkDamage>パークダメージ</style>。","При <style=KeyWord>атаке</style> <style=""Skill"">навыком</style>, <style=Health>требующим плату здоровьем</style>, атака получает:
{0} <style=PerkDamage>Урона от перка</style>.","Під час <style=KeyWord>атаки</style> <style=""Skill"">вмінням</style>, яке <style=Health>потребує здоров'я</style>, атака отримує:
{0} <style=PerkDamage>Шкоди від перка</style>.","Wenn du mit einer <style=Health>gesundheitsverbrauchenden</style> <style=""Skill"">Fähigkeit</style> <style=KeyWord>angreifst</style>, erhält der Angriff:
{0} <style=PerkDamage>Perk-Schaden</style>.","Al <style=KeyWord>atacar</style> con una <style=""Skill"">habilidad</style> que <style=Health>consume salud</style>, el ataque obtiene:
{0} de <style=PerkDamage>Daño de beneficio</style>.","Quando <style=KeyWord>atacar</style> com uma <style=""Skill"">habilidade</style> que <style=Health>consome Vida</style>, o ataque recebe:
{0} de <style=PerkDamage>Dano de Vantagem</style>.","<style=Health>체력 소모</style> <style=""Skill"">스킬</style>로 <style=KeyWord>공격</style>할 경우:
{0} <style=PerkDamage>특전 피해</style>
{0}"
"ItemName_MedalPerkAgainstTheWall","<style=""DwarfIconItem""></style>Medal of Resupply","<style=""DwarfIconItem""></style>Médaille de Réapprovisionnement","<style=""DwarfIconItem""></style>补给兵徽章","<style=""DwarfIconItem""></style>補給兵徽章","<style=""DwarfIconItem""></style>再供給のメダル","<style=""DwarfIconItem""></style>Медаль за ""Зарядка укреплений""","<style=""DwarfIconItem""></style>Медаль за поповнення запасів","<style=""DwarfIconItem""></style>Medaille des Nachladens","<style=""DwarfIconItem""></style>Medalla de Reabastecimiento","<style=""DwarfIconItem""></style>Medalha de Reabastecimento","<style=""DwarfIconItem""></style>재보급 메달"
"PerkDescription_Overheat","Whenever a <style=KeyWord>Cannon</style> <style=Skill>skills</style> is cast:
{7} <style=Bad>Heat</style> for each {8} and {9} base cost.
Whenever <style=Bad>Heat</style> reaches {0}, every <style=KeyWord>Cannon</style> <style=Skill>skill</style> gets:
{1} {2} <style=KeyWord>cost</style>, increased by {3} for each {8} and {9} base cost.
{4} is <style=KeyWord>automatically</style> cast on the Hero.
Afterwards, set <style=Bad>Heat</style> to <style=Bad>0</style>.
At the <style=KeyWord>end</style> of the Heroes' turn:
{5} <style=Bad>Heat</style>.
<style=Attenuated>Heat is reset every morning.</style>","Quand une <style=Skill>compétence</style> de <style=KeyWord>Canon</style> est utilisée<nbsp>:
{7} <style=Bad>Chaleur</style> pour chaque coût de base en {8} et {9}.
Quand la <style=Bad>Chaleur</style> atteint {0}, chaque <style=Skill>compétence</style> de <style=KeyWord>Canon</style> obtient<nbsp>:
{1} {2} au <style=KeyWord>coût</style>, augmenté de {3} pour chaque coût de base en {8} et {9}.
{4} est <style=KeyWord>automatiquement</style> utilisée sur le Héros.
Ensuite, la <style=Bad>Chaleur</style> est réinitialisée à <style=Bad>0</style>.
À la <style=KeyWord>fin</style> du tour des Héros<nbsp>:
{5} <style=Bad>Chaleur</style>.
<style=Attenuated>La Chaleur est réinitialisée chaque matin.</style>","每当施放<style=KeyWord>加农炮</style><style=Skill>技能</style>时：
每有1点{8}和{9}基础消耗，{7}<style=Bad>热量</style>。
当<style=Bad>热量</style>达到{0}时，所有<style=KeyWord>加农炮</style><style=Skill>技能</style>获得：
{1}{2}<style=KeyWord>消耗</style>，每多1点{8}和{9}基础消耗增加{3}。
对英雄<style=KeyWord>自动</style>施放{4}。
之后，将<style=Bad>热量</style>设为<style=Bad>0</style>。
在英雄回合<style=KeyWord>结束</style>时：
{5}<style=Bad>热量</style>。
<style=Attenuated>热量在每天早上会重置。</style>","施放<style=KeyWord>加農炮</style><style=Skill>技能</style>時：
每消耗1點{8}和{9}基礎消耗，{7}<style=Bad>熱量</style>。
當<style=Bad>熱量</style>達到{0}時，所有<style=KeyWord>加農炮</style><style=Skill>技能</style>獲得：
{1}{2}<style=KeyWord>消耗</style>，每多消耗1點{8}和{9}基礎消耗時增加{3}。
對英雄<style=KeyWord>自動</style>施放{4}。
之後，將<style=Bad>熱量</style>設為<style=Bad>0</style>。
在英雄回合<style=KeyWord>結束</style>時：
{5}<style=Bad>熱量</style>。
<style=Attenuated>熱量在每天早上會重置。</style>","<style=KeyWord>大砲</style><style=Skill>スキル</style>を使用するたびに：
{8}と{9}のベースコストごとに{7}<style=Bad>ヒート</style>。
<style=Bad>ヒート</style>が{0}に達すると、すべての<style=KeyWord>大砲</style><style=Skill>スキル</style>は以下を獲得する：
{1} {2}<style=KeyWord>コスト</style>、{8}と{9}のベースコストごとに{3}増加。
{4}が英雄に<style=KeyWord>自動的に</style>使用される。
その後、<style=Bad>ヒート</style>を<style=Bad>0</style>に設定。
英雄のターンの<style=KeyWord>終了時</style>：
{5}<style=Bad>ヒート</style>。
<style=Attenuated>ヒートは毎朝リセットされる。</style>","Каждый раз, когда используется <style=Skill>навык</style> <style=KeyWord>пушки</style>:
{7} к <style=Bad>жару</style> за каждое {8} и {9} базовой стоимости.
Каждый раз, когда <style=Bad>жар</style> достигает {0}, каждый <style=Skill>навык</style> <style=KeyWord>пушки</style> получает:
{1} {2} <style=KeyWord>стоимости</style>, увеличивается на {3} за каждое {8} и {9} базовой стоимости.
{4} <style=KeyWord>автоматически</style> применяется на героя.
После этого <style=Bad>жар</style> сбрасывается до <style=Bad>0</style>.
В <style=KeyWord>конце</style> хода героя:
{5} к <style=Bad>жару</style>.
<style=Attenuated>Жар сбрасывается каждое утро.</style>","Після кожного використання <style=Skill>вміння</style> <style=KeyWord>гармати</style>:
{7} <style=Bad>жару</style> за кожну витрату {8} та {9} базової вартості.
Якщо <style=Bad>жар</style> досягне {0}, кожне <style=Skill>вміння</style> <style=KeyWord>гармати</style> отримує:
{1} <style=KeyWord>вартість</style> {2}, що зростає на {3} за кожну витрату {8} та {9} базової вартості.
{4} <style=KeyWord>автоматично</style> застосовується на героя.
Після цього <style=Bad>жар</style> скидається до <style=Bad>0</style>.
<style=KeyWord>Наприкінці</style> ходу героїв:
{5} <style=Bad>жар</style>.
<style=Attenuated>Щоранку жар скидається.</style>","Immer wenn eine <style=KeyWord>Kanone</style>-<style=Skill>Fähigkeit</style> gewirkt wird:
{7} <style=Bad>Hitze</style> für jede {8} und {9} Basiskosten.
Immer wenn die <style=Bad>Hitze</style> {0} erreicht, erhält jede <style=KeyWord>Kanone</style>-<style=Skill>Fähigkeit</style>:
{1} {2} <style=KeyWord>Kosten</style>, erhöht um {3} für jede {8} und {9} Basiskosten.
{4} wird <style=KeyWord>automatisch</style> auf den Helden gewirkt.
Danach wird die <style=Bad>Hitze</style> auf <style=Bad>0</style> gesetzt.
Am <style=KeyWord>Ende</style> des Zuges der Helden:
{5} <style=Bad>Hitze</style>.
<style=Attenuated>Hitze wird jeden Morgen zurückgesetzt.</style>","Cuando se use una <style=Skill>habilidad</style> de <style=KeyWord>cañón</style>:
{7} de <style=Bad>temperatura</style> por cada {8} y {9} de coste base.
Cuando la <style=Bad>temperatura</style> alcance {0}, todas las <style=Skill>habilidades</style> de <style=KeyWord>cañón</style> obtienen:
{1} de <style=KeyWord>coste</style> de {2}, que aumenta en {3} por cada {8} y {9} de coste base.
{4} se usa <style=KeyWord>automáticamente</style> sobre el héroe.
Después, la <style=Bad>temperatura</style> se pone a <style=Bad>0</style>.
Al <style=KeyWord>final</style> del turno de los héroes:
{5} <style=Bad>temperatura</style>.
<style=Attenuated>La temperatura se reinicia cada mañana.</style>","Sempre que uma <style=Skill>habilidade</style> <style=KeyWord>Canhão</style> for lançada:
{7} de <style=Bad>Calor</style> para cada custo base de {8} e {9}.
Sempre que <style=Bad>Calor</style> atingir {0}, todas as <style=Skill>habilidades</style> de <style=KeyWord>Canhão</style> recebem:
{1} de <style=KeyWord>custo</style> de {2}, aumentado em {3} para cada custo base de {8} e {9}.
O Herói lança {4} <style=KeyWord>automaticamente</style>.
Depois, o <style=Bad>Calor</style> é redefinido para <style=Bad>0</style>.
No <style=KeyWord>fim</style> do turno dos Heróis:
{5} de <style=Bad>Calor</style>.
<style=Attenuated>O Calor é redefinido todas as manhãs.</style>","<style=KeyWord>대포</style> <style=Skill>스킬</style>을 시전할 때마다:
{8}, {9} 기본 비용마다 {7} <style=Bad>열기</style>.
<style=Bad>열기</style>가 {0}에 도달할 때마다 모든 <style=KeyWord>대포</style> <style=Skill>스킬</style>:
{1} {2} <style=KeyWord>소모</style> ({8}, {9} 기본 비용마다 {3} 증가).
영웅에게 {4} <style=KeyWord>자동</style> 시전.
그 후, <style=Bad>열기</style>를 <style=Bad>0</style>으로 설정.
영웅 턴이 <style=KeyWord>종료</style>될 때:
{5} <style=Bad>열기</style>.
<style=Attenuated>열기는 매일 아침 초기화됩니다.</style>"
"PerkName_OverheatAlt1","Overheat","","过热","過熱","オーバーヒート","Перегрев","Перегрів","Überhitzung","Sobrecalentamiento","Superaquecimento","과열"
"PerkDescription_HardAsARock","Whenever an enemy is <style=KeyWord>killed</style>:
{0}.
Increases <style=KeyWord>Maximum</style> {2} by {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Quand un ennemi est <style=KeyWord>tué</style><nbsp>:
{0}.
Augmente {2} <style=KeyWord>maximum</style> de {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","每有敌人被 <style=KeyWord>击杀</style>时：
{0}。
<style=KeyWord>最大</style>{2}提升{1}。
<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","每有敵人被 <style=KeyWord>擊殺</style>時：
{0}。
<style=KeyWord>最大</style>{2}提升{1}。
<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","エネミーを1体<style=KeyWord>倒す</style>毎に{0}。
<style=KeyWord>最大</style>{2}を{1}増加させる。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","Каждый раз, когда враг <style=KeyWord>убит</style>:
{0}.
Увеличивает <style=KeyWord>максимум</style> {2} на {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","Коли ворога <style=KeyWord>вбивають</style>:
{0}.
Збільшує <style=KeyWord>максимум</style> {2} на {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","Immer wenn ein Feind <style=KeyWord>getötet</style> wird:
{0}.
Erhöht das <style=KeyWord>Maximum</style> von {2} um {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Cuando se <style=KeyWord>mata</style> a un enemigo:
{0}.
Aumenta el {2} <style=KeyWord>máximo</style> en {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","Sempre que um inimigo for <style=KeyWord>abatido</style>:
{0}.
Aumenta {2} <style=KeyWord>Máximo</style> em {1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","적을 <style=KeyWord>처치</style>할 때마다:
{0}.
<style=KeyWord>최대</style> {2}이(가) {1} 증가합니다.
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkDescription_LookAtMyMuscles","{1}. Increases <style=KeyWord>Maximum</style> {2} by {3}.
{0} <style=KeyWord>use</style> <style=Attenuated>(Limit per turn)</style> on every <style=""Skill"">skill</style> provided by any <style=KeyWord>weapon set</style> equipped <style=Attenuated>(provided by items in Hand slots)</style>
<style=Bad>Disables the body armor slot</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1}. Augmente le <style=KeyWord>Maximum</style> de {2} de {3}.
{0} <style=KeyWord>utilisations</style> <style=Attenuated>(Limite par tour)</style> pour chaque <style=Skill>compétence</style> provenant de votre <style=KeyWord>set d'armes</style> restant (procurées par les objets dans votre emplacement Main)</style>
<style=Bad>Désactive l'emplacement<br>d'armure du torse.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1}。{2}<style=KeyWord>上限</style>提高{3}。
装备的<style=KeyWord>武器组合</style><style=Attenuated>（手部栏位的物品）</style>提供的每种<style=""Skill"">技能</style>{0}次<style=KeyWord>使用次数</style><style=Attenuated>（每回合限制的次数）</style>
<style=Bad>禁用护甲栏位</style>
<style=""DwarfIcon""></style><style=""DwarfText"">《卢恩堡的矮人》DLC</style>","{1}。{2}<style=KeyWord>最大值</style>提升{3}。
已裝備<style=KeyWord>武器</style><style=Attenuated>（僅限手部欄位）</style>提供的所有<style=""Skill"">技能</style><style=KeyWord>使用次數</style>{0}<style=Attenuated>（每回合限制）</style>
<style=Bad>禁用護身甲欄位</style>
<style=""DwarfIcon""></style><style=""DwarfText"">〈盧恩堡的矮人〉DLC</style>","{1}。<style=KeyWord>最大</style>{2}が{3}増加する。
装備中の<style=KeyWord>武器セット</style>から放たれる全て<style=""Skill"">スキル</style><style=KeyWord>使用回数</style>{0}<style=Attenuated>(1ターンに1回まで)</style><style=Attenuated>(ハンドスロットのアイテムにのみ使用できる)</style>
<style=Bad>ボディアーマーのスロットが無効になる</style>
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","{1}. Повышает <style=KeyWord>макс.</style> {2} на {3}.
{0} <style=KeyWord>заряд(а)</style> <style=Attenuated>(макс. за ход)</style> к каждому <style=""Skill"">навыку</style> имеющегося <style=Attenuated>(находящегося в ячейках рук)</style> <style=KeyWord>набора оружия</style>
<style=Bad>Нельзя использовать ячейку брони</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","{1}. Збільшує <style=KeyWord>макс.</style> {2} на {3}.
{0} <style=KeyWord>використання</style> <style=Attenuated>(обмеження на хід)</style> за кожне <style=""Skill"">вміння</style>, надане будь-яким спорядженим <style=KeyWord>набором зброї</style> <style=Attenuated>(усі елементи набору зброї в руках)</style>
<style=Bad>Вимикає комірку для натільної броні</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Доповнення Dwarves of Runenberg</style>","{1}. Erhöht den <style=KeyWord>Maximalwert</style> von {2} um {3}.
{0} <style=KeyWord>Nutzung(en)</style> <style=Attenuated>(Limit pro Runde)</style> für jede <style=""Skill"">Fähigkeit</style> eines beliebigen ausgerüsteten <style=KeyWord>Waffensatzes</style> <style=Attenuated>bzw. der Gegenstände in den Handplätzen</style>.
<style=Bad>Deaktiviert den Körperrüstungsplatz</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1}. Aumenta el <style=KeyWord>máximo</style> de {2} en {3}.
{0} <style=KeyWord>utiliza</style> <style=Attenuated>(límite por turno)</style> con cada <style=""Skill"">habilidad</style> proporcionada por un <style=KeyWord>conjunto de armas</style> equipado <style=Attenuated>(los objetos equipados en las manos).</style>
<style=Bad>Desactiva la ranura de armadura superior.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1}. Aumenta {2} <style=KeyWord>Máx.</style> em {3}.
{0} <style=KeyWord>uso</style> <style=Attenuated>(Limite por turno)</style> para cada <style=""Skill"">habilidade</style> proporcionada por qualquer <style=KeyWord>conjunto de armas</style> equipado <style=Attenuated>(proporcionadas por itens nos espaços da Mão)</style>
<style=Bad>Desativa o espaço do peitoral</style>
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1}. <style=KeyWord>최대</style> {2} {3}만큼 증가
장착한 <style=KeyWord>무기 세트</style><style=Attenuated>(손에 장착한 아이템)</style>가 제공하는 모든 <style=""Skill"">스킬</style> <style=KeyWord>사용 횟수</style> {0}회 <style=Attenuated>(턴당 제한)</style> 
<style=Bad>갑옷 슬롯 비활성화</style>
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
